Yellow-vented Green-Pigeon (<em class="sci">Treron seimundi</em>)	0.0106952	0.008547	0.0255591	0.0180879	0.0517241	0.0141643	0.0188679	0.009434	0.0296053	0.0184332	0.0109091	0.0050761	0.0	0.010101	0.0	0.0068493	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.009901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0197368	0.0015	0.0059524	0.0	0.0071942	0.0	0.0111732	
Pin-tailed Green-Pigeon (<em class="sci">Treron apicauda</em>)	0.0	0.0	0.0	0.0	0.0	0.0028329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wedge-tailed Green-Pigeon (<em class="sci">Treron sphenurus</em>)	0.0106952	0.0470085	0.0415335	0.0465116	0.0344828	0.0339943	0.0345912	0.0503145	0.0065789	0.0138249	0.0109091	0.0	0.0073529	0.010101	0.0	0.0068493	0.0015	0.0	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065789	0.0057471	0.0119048	0.0151515	0.0503597	0.0201342	0.0111732	
White-bellied Green-Pigeon (<em class="sci">Treron sieboldii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
green-pigeon sp. (<em class="sci">Treron sp.</em>)	0.0053476	0.0	0.0	0.002584	0.0	0.0084986	0.009434	0.0062893	0.0	0.0	0.0036364	0.0	0.0073529	0.010101	0.0015	0.0	0.0173913	0.0	0.0	0.0	0.0	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0192308	0.0	0.0	0.0015	0.0057471	0.0119048	0.0	0.028777	0.0134228	0.0111732	
Mountain Imperial-Pigeon (<em class="sci">Ducula badia</em>)	0.0481283	0.0598291	0.0638978	0.0568475	0.091954	0.0339943	0.0534591	0.0377358	0.0427632	0.0645161	0.04	0.0456853	0.0294118	0.040404	0.0140845	0.0205479	0.0434783	0.0410959	0.0408163	0.0166667	0.0185185	0.0217391	0.0155039	0.0267857	0.0126582	0.0363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.010582	0.0065359	0.0328947	0.0057471	0.0297619	0.0227273	0.0647482	0.033557	0.0335196	
imperial-pigeon sp. (<em class="sci">Ducula sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
pigeon/dove sp. (<em class="sci">Columbidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083333	0.0092593	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065789	0.0057471	0.0	0.0	0.0	0.0067114	0.0	
Greater Coucal (<em class="sci">Centropus sinensis</em>)	0.1283422	0.2820513	0.2555911	0.255814	0.3563218	0.1784703	0.2641509	0.2484277	0.2302632	0.3087558	0.3381818	0.3553299	0.3455882	0.4343434	0.2816901	0.3630137	0.3913043	0.3424658	0.3979592	0.3833333	0.3518519	0.3913043	0.4341085	0.3839286	0.443038	0.2909091	0.3384615	0.3564356	0.2068966	0.2	0.2424242	0.2641509	0.3611111	0.0666667	0.03125	0.15625	0.1162791	0.212766	0.3461538	0.2010582	0.1503268	0.2434211	0.2471264	0.3392857	0.1893939	0.3597122	0.2214765	0.2234637	
Lesser Coucal (<em class="sci">Centropus bengalensis</em>)	0.0160428	0.008547	0.0063898	0.0103359	0.0057471	0.0056657	0.009434	0.0188679	0.0015	0.0184332	0.0181818	0.0101523	0.0073529	0.020202	0.0070423	0.0068493	0.0173913	0.0410959	0.0102041	0.0	0.0462963	0.0	0.0465116	0.0535714	0.0379747	0.0545455	0.0307692	0.009901	0.0	0.0166667	0.0606061	0.0015	0.0555556	0.0	0.0	0.0	0.0465116	0.0106383	0.0192308	0.010582	0.0130719	0.0065789	0.0015	0.0119048	0.0075758	0.0143885	0.0201342	0.0	
